bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
4011310001,53-01 32nd Ave,Multifamily Housing,82,126448,1,89.8,11352453.8,4025172,Multifamily Housing,," 1,936,939 "," 5,076,100 ",,,,,,,
1015347501,200 East 89th Street,Multifamily Housing,13,218736,1,175,38269608.8,1073221,Multifamily Housing,"{'Multifamily Housing': 216136.0, 'Other': 2600.0, 'Parking': 29115.0}"," 6,833,700 "," 17,370,275 ",,,,,,,
3053290001,125 Ocean Parkway,Multifamily Housing,100,109994,1,65.2,7170038.1,3124322,Multifamily Housing,,," 6,408,500 ",,,,,,,
4052940006,36-35 167th Street,Multifamily Housing,82,77927,1,89.5,6975364.1,4119726,Multifamily Housing,," 787,927 "," 4,121,188 ",,,,,,,
1021410029,615 West 172nd Street,Multifamily Housing,70,81557,1,101.8,8301382.3,1063463;1807886,Multifamily Housing,"{'Multifamily Housing': 75557.0, 'Other': 6000.0}"," 1,069,693 "," 4,550,345 ",,,,,,,
4033210018,83-10 118th Street,Multifamily Housing,93,78087,1,89.4,6980041.6,4079257,Multifamily Housing,"{'Multifamily Housing': 78087.0, 'Parking': 8384.0}"," 845,375 "," 3,977,000 ",,,,,,,
4098450012,175-05 Wexford Terrace,Multifamily Housing,94,86333,1,73.2,6323281.5,4210599,Multifamily Housing,," 788,158 "," 3,663,400 ",,,,,,,
1021790095,105 Pinhurst Ave,Multifamily Housing,89,72760,1,89.5,6515312.2,1064338,Multifamily Housing,," 653,149 "," 673,876 ",,," 3,519,524 ",,,,
3054540045,4910 17th Avenue,Multifamily Housing,52,77000,1,121,9317298.5,3129188,Multifamily Housing,," 1,309,884 "," 5,017,900 ",,,,,,,
2032900014,2786 Bainbridge Ave,Multifamily Housing,88,73528,1,82.8,6089457.7,2016707,Multifamily Housing,," 608,304 "," 3,869,923 ",,,,,,,
2033190064,5 Minerva Place,Multifamily Housing,70,96250,1,100,9624118.9,2017596,Multifamily Housing,"{'Multifamily Housing': 94250.0, 'Other': 2000.0}"," 957,309 "," 6,240,281 ",,,,,,,
1015610001,401 East 81st Street,Multifamily Housing,28,213448,1,124.9,26664565.7,1050385,Multifamily Housing,"{'Multifamily Housing': 208328.0, 'Other': 5120.0, 'Parking': 7000.0}"," 4,681,992 "," 785,218 ",,," 12,906,684 ",,,,
3072340150,2661 West 2 St.,Multifamily Housing,94,97430,1,91,8862946.2,3196058,Multifamily Housing,," 695,495 "," 6,167,574 ",,,,,,,
3072140039,621 Ave. Z,Multifamily Housing,97,58560,1,83.9,4915384,3195709,Multifamily Housing,," 412,344 "," 3,357,546 ",,,,,,,
3072160038,675 Ave. Z,Multifamily Housing,100,58560,1,71.9,4208536.9,3195744,Multifamily Housing,," 268,804 "," 3,093,821 ",,,,,,,
2045500012,2922 Barnes Avenue,Multifamily Housing,34,127566,2,141.7,18070314.9,2093477;2093476;2800619,Multifamily Housing,," 2,230,546 "," 542,482 ",," 11,143,742 ",,,,,
4050030028,144-50 35th Avenue,Multifamily Housing,56,68240,1,126.6,8637446.2,4113189,Multifamily Housing,," 931,033 "," 5,274,417 ",,,,,,,
4014550041,34-15 94th Street,Multifamily Housing,100,78078,1,52.9,4128158,4035804,Multifamily Housing,," 1,443,426 "," 129,077 ",,,,,,,
2033560120,3502 Hull Avenue,Multifamily Housing,42,86411,1,124.9,10794377.1,2018643,Multifamily Housing,," 1,349,428 "," 6,283,221 ",,,,,,,
2057430203,2550 Independence Ave,Multifamily Housing,95,228930,1,68.9,15776774.4,2083470,Multifamily Housing,," 2,052,860 "," 8,634,900 ",,,,,,,
2057450012,2727 Palisade Ave,Multifamily Housing,62,212433,1,105.1,22333486.3,2083473,Multifamily Housing,," 2,499,744 "," 13,172,400 ",,,,,,,
2057260673,2750 Johnson Ave,Multifamily Housing,75,108570,1,96.3,10454357.9,2083312,Multifamily Housing,," 1,170,160 "," 6,303,100 ",,,,,,,
